scopus,doi,title,type,year,source,page,volume,reader_count,link,given-name,sur_name,citedby_count,h_index,doc_total,citedby_doc,coauthors_total
2-s2.0-84876833748,10.1007/s10257-012-0193-9,"Impacts of employee participation and trust on e-business readiness, benefits, and satisfaction",journal,2013,Information Systems and e-Business Management,265-285,11,34,http://www.mendeley.com/research/impacts-employee-participation-trust-ebusiness-readiness-benefits-satisfaction,Jung-Yu,Lai,5,12,35,957,18
2-s2.0-79960795856,10.1002/hrm.20434,Employees' attitudes toward organizational change: A literature review,journal,2011,Human Resource Management,479-500,50,222,http://www.mendeley.com/research/employees-attitudes-toward-organizational-change-literature-review,Myungweon,Choi,87,6,14,194,14
2-s2.0-84879687947,10.1080/00207543.2012.755273,Characteristics affecting management of design information in the production system design process,journal,2013,International Journal of Production Research,3241-3251,51,29,http://www.mendeley.com/research/characteristics-affecting-management-design-information-production-system-design-process-1,Jessica,Bruch,8,3,19,25,28
2-s2.0-46949107747,10.1080/13678860500149951,Linking intellectual capital and competitive advantage: A cross-firm competence model for north-east italian smes in the manufacturing industry,generic,2005,Human Resource Development International,361-377,8,33,http://www.mendeley.com/research/linking-intellectual-capital-competitive-advantage-crossfirm-competence-model-northeast-italian-smes,Arnaldo,Camuffo,25,17,40,567,21
2-s2.0-70449730764,10.1080/10580530902797532,Confusion in the ranks: IT service management practice and terminology,journal,2009,Information Systems Management,153-163,26,152,http://www.mendeley.com/research/confusion-ranks-it-service-management-practice-terminology,MaryAnne,Winniford,64,2,2,80,2
2-s2.0-84861749584,10.2308/isys-10254,Acceptance of E-Prescriptions and Automated Medication-Management Systems in Hospitals: An Extension of the Technology Acceptance Model,journal,2012,Journal of Information Systems,77-96,26,40,http://www.mendeley.com/research/acceptance-eprescriptions-automated-medicationmanagement-systems-hospitals-extension-technology-acce,Tomás,Escobar-Rodríguez,14,12,38,507,16
2-s2.0-84897381379,10.1080/00076791.2013.790369,Revisiting the fit-performance thesis half a century later: A historical financial analysis of Chandler's own matched and mismatched firms,journal,2014,Business History,341-371,56,15,http://www.mendeley.com/research/revisiting-fitperformance-thesis-half-century-later-historical-financial-analysis-chandlers-own-matc,Kenneth E.,Aupperle,3,4,13,86,11
2-s2.0-57149088834,10.1080/13698570802533002,Informing the public about information and participation strategies in siting of mobile communication base stations: An experimental study,journal,2008,"Health, Risk and Society",517-534,10,23,http://www.mendeley.com/research/informing-public-about-information-participation-strategies-siting-mobile-communication-base-station,Peter M.,Wiedemann,9,14,69,610,108
2-s2.0-61849112158,10.1145/1467247.1467279,Open access publishing in science,journal,2009,Communications of the ACM,135,52,56,http://www.mendeley.com/research/open-access-publishing-science-6,Florian,Mann,31,3,3,40,6
2-s2.0-84902457512,10.1007/s00291-013-0342-7,Stochastic programming for vendor portfolio selection and order allocation under delivery uncertainty,journal,2014,OR Spectrum,761-797,36,20,http://www.mendeley.com/research/stochastic-programming-vendor-portfolio-selection-order-allocation-under-delivery-uncertainty,Chia-Yen,Lee,2,8,27,121,27
2-s2.0-77956806658,10.1007/s10018-010-0167-4,Information and communication technology and environmental issues,journal,2010,Environmental Economics and Policy Studies,133-138,12,4,http://www.mendeley.com/research/information-communication-technology-environmental-issues,Fumikazu,Yoshida,1,3,13,37,5
2-s2.0-59049089805,10.1007/s10257-007-0068-7,Compositional enterprise modeling and decision support,journal,2008,Information Systems and e-Business Management,137-160,6,15,http://www.mendeley.com/research/compositional-enterprise-modeling-decision-support,Sulin,Ba,5,16,37,1960,26
2-s2.0-36849095055,10.1111/j.1540-6210.2007.00827.x,"Crisis management in hindsight: Cognition, communication, coordination, and control",journal,2007,Public Administration Review,189-197,67,225,http://www.mendeley.com/research/crisis-management-hindsight-cognition-communication-coordination-control-3,Louise K.,Comfort,208,18,77,1160,109
2-s2.0-79953836724,10.1080/10580530.2011.562401,IT service climate-an essential managerial tool to improve client satisfaction with IT service quality,journal,2011,Information Systems Management,174-179,28,29,http://www.mendeley.com/research/it-service-climatean-essential-managerial-tool-improve-client-satisfaction-it-service-quality,Ronnie,Jia,17,6,22,136,7
2-s2.0-84856895091,10.1080/08839514.2012.629522,Exploiting the user interaction context for automatic task detection,journal,2012,Applied Artificial Intelligence,58-80,26,11,http://www.mendeley.com/research/exploiting-user-interaction-context-automatic-task-detection,Didier,Devaurs,2,10,27,209,35
2-s2.0-70350143064,10.1080/13504850701578835,Federal Reserve vs. consumer forecasts of inflation: 1979-1983,journal,2009,Applied Economics Letters,1565-1568,16,1,http://www.mendeley.com/research/federal-reserve-vs-consumer-forecasts-inflation-19791983,Hamid,Baghestani,5,8,64,201,21
2-s2.0-84884497544,10.1080/0144929X.2011.586725,E-banking in Jordan,journal,2013,Behaviour and Information Technology,681-694,32,46,http://www.mendeley.com/research/ebanking-jordan,Muneer M.,Abbad,5,4,9,97,8
2-s2.0-34648825465,10.1080/09511920701566467,Ontology-based artefact management in automotive electronics,conference_proceedings,2007,International Journal of Computer Integrated Manufacturing,627-638,20,7,http://www.mendeley.com/research/ontologybased-artefact-management-automotive-electronics,K.,Sandkuhl,15,13,204,580,150
2-s2.0-71749108815,10.1080/09511920903207464,A knowledge management framework to support product-service systems design,journal,2009,International Journal of Computer Integrated Manufacturing,1173-1188,22,139,http://www.mendeley.com/research/knowledge-management-framework-support-productservice-systems-design-5,David,Baxter,45,8,20,341,24
2-s2.0-77957233165,10.1111/j.1541-0072.2010.00378.x,Building the reservoir to nowhere: The role of agencies in advocacy coalitions,journal,2010,Policy Studies Journal,653-678,38,33,http://www.mendeley.com/research/building-reservoir-nowhere-role-agencies-advocacy-coalitions,Brian A.,Ellison,10,6,11,55,3
2-s2.0-84945471366,10.1007/s10207-014-0270-9,Privacy-preserving personal health record using multi-authority attribute-based encryption with revocation,journal,2014,International Journal of Information Security,487-497,14,14,http://www.mendeley.com/research/privacypreserving-personal-health-record-using-multiauthority-attributebased-encryption-revocation,Huiling,Qian,37,3,3,48,4
2-s2.0-77955901375,10.1007/s10729-009-9120-0,A non-homogeneous discrete time Markov model for admission scheduling and resource planning in a cost or capacity constrained healthcare system,journal,2010,Health Care Management Science,155-169,13,70,http://www.mendeley.com/research/nonhomogeneous-discrete-time-markov-model-admission-scheduling-resource-planning-cost-capacity-const,Lalit,Garg,31,9,45,180,66
2-s2.0-71749088135,10.1111/j.1365-2575.2008.00324.x,"A multi-method, holistic strategy for researching critical success factors in IT projects",journal,2010,Information Systems Journal,25-52,20,127,http://www.mendeley.com/research/multimethod-holistic-strategy-researching-critical-success-factors-it-projects,Ulrich,Remus,27,10,43,498,32
2-s2.0-33847725414,10.1002/pad.437,Conflict resolution: Benchmarking water utility performance,journal,2007,Public Administration and Development,11-Jan,27,24,http://www.mendeley.com/research/conflict-resolution-benchmarking-water-utility-performance,Sanford V.,Berg,16,16,70,785,50
2-s2.0-84859971494,10.1080/00207543.2010.543173,Scheduling with multiple tasks per job - The case of quality control laboratories in the pharmaceutical industry,journal,2012,International Journal of Production Research,691-705,50,12,http://www.mendeley.com/research/scheduling-multiple-tasks-per-job-case-quality-control-laboratories-pharmaceutical-industry,Alex J.,Ruiz-Torres,4,15,62,563,54
2-s2.0-41149147186,10.1049/iet-com:20060649,ZigBee-based alarm system for pervasive healthcare in rural areas,journal,2008,IET Communications,208,2,31,http://www.mendeley.com/research/zigbeebased-alarm-system-pervasive-healthcare-rural-areas,R.,Casas,17,13,54,563,88
2-s2.0-80051747339,10.1061/(ASCE)CO.1943-7862.0000344,Bootstrap Technique for Risk Analysis with Interval Numbers in Bridge Construction Projects,journal,2011,Journal of Construction Engineering and Management,600-608,137,36,http://www.mendeley.com/research/bootstrap-technique-risk-analysis-interval-numbers-bridge-construction-projects,Hassan,Hashemi,10,12,19,327,16
2-s2.0-84922446337,10.1080/17517575.2013.792397,Controlled information destruction: the final frontier in preserving information security for every organisation,journal,2015,Enterprise Information Systems,384-400,9,7,http://www.mendeley.com/research/controlled-information-destruction-final-frontier-preserving-information-security-every-organisation,Daniel-Ioan,Curiac,2,9,50,222,41
2-s2.0-39349085400,10.1049/iet-gtd:20070309,Nodal congestion price estimation in spot power market using artificial neural network,journal,2008,"IET Generation, Transmission & Distribution",280,2,13,http://www.mendeley.com/research/nodal-congestion-price-estimation-spot-power-market-using-artificial-neural-network,S. N.,Pandey,24,2,2,25,3
2-s2.0-58849127054,10.1111/j.1539-6924.2008.01153.x,System perspectives of experts and farmers regarding the role of livelihood assets in risk perception: Results from the structured mental model approach,journal,2009,Risk Analysis,205-222,29,71,http://www.mendeley.com/research/system-perspectives-experts-farmers-regarding-role-livelihood-assets-risk-perception-results-structu,Regina,Schoell,25,1,2,25,2
2-s2.0-33745215985,10.1145/1107458.1107493,Keeping encountered information,journal,2006,Communications of the ACM,66,49,52,http://www.mendeley.com/research/keeping-encountered-information,Catherine C.,Marshall,16,3,5,88,4
2-s2.0-84894087569,10.1111/1468-5973.12033,Incident command and information flows in a large-scale emergency operation,journal,2014,Journal of Contingencies and Crisis Management,29-38,22,61,http://www.mendeley.com/research/incident-command-information-flows-largescale-emergency-operation,Rune,Rimstad,12,5,8,76,21
2-s2.0-49249096459,10.1080/07408170701775086,Transient analysis of maintenance intervention of continuous multi-unit systems,journal,2008,IIE Transactions (Institute of Industrial Engineers),971-983,40,6,http://www.mendeley.com/research/transient-analysis-maintenance-intervention-continuous-multiunit-systems,O. Geoffrey,Okogbaa,5,7,37,274,37
2-s2.0-78649390704,10.2753/MIS0742-1222270202,Safe Contexts for Interorganizational Collaborations Among Homeland Security Professionals,journal,2010,Journal of Management Information Systems,55-86,27,65,http://www.mendeley.com/research/safe-contexts-interorganizational-collaborations-among-homeland-security-professionals,Ann,Majchrzak,18,29,98,4507,120
2-s2.0-84943814769,10.1080/09669582.2015.1062016,Drivers of environmental innovation in Majorcan hotels,journal,2015,Journal of Sustainable Tourism,1529-1549,23,37,http://www.mendeley.com/research/drivers-environmental-innovation-majorcan-hotels,Maria,Razumova,11,2,2,14,4
2-s2.0-84864480920,10.3109/03639045.2011.641563,A new experimental design method to optimize formulations focusing on a lubricant for hydrophilic matrix tablets,journal,2012,Drug Development and Industrial Pharmacy,1117-1127,38,7,http://www.mendeley.com/research/new-experimental-design-method-optimize-formulations-focusing-lubricant-hydrophilic-matrix-tablets,Du Hyung,Choi,4,3,5,27,17
2-s2.0-35448935139,10.1007/s11067-007-9027-6,Network analysis of commuting flows: A comparative static approach to German data,journal,2007,Networks and Spatial Economics,315-331,7,39,http://www.mendeley.com/research/network-analysis-commuting-flows-comparative-static-approach-german-data,Roberto,Patuelli,51,10,33,320,39
2-s2.0-84938421707,10.1007/s10257-014-0267-y,A new data mining methodology for generating new service ideas,journal,2015,Information Systems and e-Business Management,421-443,13,10,http://www.mendeley.com/research/new-data-mining-methodology-generating-new-service-ideas-4,Amir-Mohsen,Karimi-Majd,2,2,7,20,6
2-s2.0-84873475610,10.1080/00207543.2012.709650,A dynamic knowledge management framework for the high value manufacturing industry,journal,2013,International Journal of Production Research,2176-2185,51,34,http://www.mendeley.com/research/dynamic-knowledge-management-framework-high-value-manufacturing-industry-2,Barry Andrew,Piorkowski,12,2,3,18,3
2-s2.0-67549088044,10.1111/j.1937-5956.2009.01012.x,Forecast updating and supplier coordination for complementary component purchases,journal,2009,Production and Operations Management,167-184,18,27,http://www.mendeley.com/research/forecast-updating-supplier-coordination-complementary-component-purchases,Douglas J.,Thomas,14,12,22,1144,36
2-s2.0-84957641820,10.1287/isre.2015.0603,"Tigerblood: Newspapers, blogs, and the founding of information technology firms",journal,2015,Information Systems Research,812-828,26,41,http://www.mendeley.com/research/tigerblood-newspapers-blogs-founding-information-technology-firms,Brad N.,Greenwood,3,4,16,90,12
2-s2.0-27844501085,10.1080/00207540412331285832,Liquid crystal display surface uniformity defect inspection using analysis of variance and exponentially weighted moving average techniques,journal,2005,International Journal of Production Research,67-80,43,3,http://www.mendeley.com/research/liquid-crystal-display-surface-uniformity-defect-inspection-using-analysis-variance-exponentially-we,B. C.,Jiang,60,14,64,455,82
2-s2.0-84867325913,10.1111/j.1540-4609.2012.00363.x,Introducing Artificial Neural Networks through a Spreadsheet Model,journal,2012,Decision Sciences Journal of Innovative Education,515-520,10,9,http://www.mendeley.com/research/introducing-artificial-neural-networks-through-spreadsheet-model,Thomas F.,Rienzo,5,3,8,37,8
2-s2.0-84888439011,10.1002/nav.21558,Fixed-interval joint-replenishment policies for distribution systems with multiple retailers and stochastic demand,journal,2013,Naval Research Logistics,637-651,60,18,http://www.mendeley.com/research/fixedinterval-jointreplenishment-policies-distribution-systems-multiple-retailers-stochastic-demand,Qinan,Wang,5,17,32,1478,27
2-s2.0-84862888433,10.1080/09613218.2012.690956,Exploring scenarios for the future of energy management in UK property,journal,2012,Building Research and Information,373-388,40,5,http://www.mendeley.com/research/exploring-scenarios-future-energy-management-uk-property-2,A. T.,Parkinson,7,3,6,19,10
2-s2.0-17644391379,10.1111/j.0824-7935.2005.00268.x,XML declarative description with first-order logical constraints,journal,2005,Computational Intelligence,130-156,21,1,http://www.mendeley.com/research/xml-declarative-description-firstorder-logical-constraints,Chutiporn,Anutariya,6,7,39,157,32
2-s2.0-84878142749,10.1111/caim.12017,A New Roadmapping Technique for Creatively Managing the Emerging Smart Grid,journal,2013,Creativity and Innovation Management,67-83,22,42,http://www.mendeley.com/research/new-roadmapping-technique-creatively-managing-emerging-smart-grid,Kelly R.,Cowan,8,8,16,132,12
2-s2.0-84942256258,10.1002/jsc.2021,Global Information System Implementation: A Study of Strategic and Cultural Challenges and Enablers in a DMNC,journal,2015,Strategic Change,447-462,24,7,http://www.mendeley.com/research/global-information-system-implementation-study-strategic-cultural-challenges-enablers-dmnc,Glenn,Parry,1,15,54,463,65
2-s2.0-74949097178,10.1080/10580530903455247,Balanced scorecard implementation of security strategies: A framework for IT security performance management,journal,2010,Information Systems Management,72-81,27,66,http://www.mendeley.com/research/balanced-scorecard-implementation-security-strategies-framework-it-security-performance-management-5,Tejaswini,Herath,12,13,25,885,20
2-s2.0-78649313351,10.1061/(ASCE)CO.1943-7862.0000240,Improved SWOT approach for conducting strategic planning in the construction industry,journal,2010,Journal of Construction Engineering and Management,1317-1328,136,126,http://www.mendeley.com/research/improved-swot-approach-conducting-strategic-planning-construction-industry,Weisheng,Lu,19,23,96,1129,100
2-s2.0-79958852752,10.1080/00207543.2010.548409,A method to align a manufacturing execution system with Lean objectives,conference_proceedings,2011,International Journal of Production Research,4397-4413,49,126,http://www.mendeley.com/research/method-align-manufacturing-execution-system-lean-objectives,J.,Cottyn,37,5,15,72,30
2-s2.0-78650279864,10.1080/17517575.2010.493956,Identifying influential factors of business process performance using dependency analysis,journal,2011,Enterprise Information Systems,79-98,5,28,http://www.mendeley.com/research/identifying-influential-factors-business-process-performance-using-dependency-analysis-12,Branimir,Wetzsteina,40,1,1,40,4
2-s2.0-48049102841,10.5465/AMP.2008.32739761,Value Creation in Knowledge-Based Firms: Aligning Problems and Resources,journal,2008,Academy of Management Perspectives,85-99,22,102,http://www.mendeley.com/research/value-creation-knowledgebased-firms-aligning-problems-resources,Joana,Woiceshyn,23,9,19,249,14
2-s2.0-43249130628,10.1007/s10257-008-0090-4,Support for real-time decision making in mobile financial applications,generic,2008,Information Systems and e-Business Management,257-278,6,46,http://www.mendeley.com/research/support-realtime-decision-making-mobile-financial-applications,Frada,Burstein,2,14,107,576,131
2-s2.0-84920941726,10.5755/j01.ee.24.3.2787,??mogi??kojo kapitalo sistemos vertinimas Europos S??jungos ??ali?? kontekste,journal,2013,Engineering Economics,226-233,24,5,http://www.mendeley.com/research/mogikojo-kapitalo-sistemos-vertinimas-europos-sjungos-ali-kontekste,Algimantas,Sakalas,2,3,7,37,7
2-s2.0-84936971088,10.1377/hlthaff.2015.0127,Women saw large decrease in out-of-pocket spending for contraceptives after ACA mandate removed cost sharing,journal,2015,Health Affairs,1204-1211,34,40,http://www.mendeley.com/research/women-saw-large-decrease-outofpocket-spending-contraceptives-after-aca-mandate-removed-cost-sharing,Nora V.,Becker,25,3,7,56,24
2-s2.0-84880301682,10.1007/s10845-012-0634-9,A capacity allocation and expansion model for TFT-LCD multi-site manufacturing,journal,2013,Journal of Intelligent Manufacturing,847-872,24,9,http://www.mendeley.com/research/capacity-allocation-expansion-model-tftlcd-multisite-manufacturing,Tzu-Li,Chen,7,11,39,196,36
2-s2.0-34548049833,10.1080/17517570601088364,CIOs' perspectives of critical success factors in ERP upgrade projects,journal,2007,Enterprise Information Systems,129-138,1,50,http://www.mendeley.com/research/cios-perspectives-critical-success-factors-erp-upgrade-projects,D. L.,Olson,51,37,196,4014,147
2-s2.0-74549211306,10.1080/00207540802555736,A correlated storage location assignment problem in a single-block-multi- aisles warehouse considering BOM information,journal,2010,International Journal of Production Research,1321-1338,48,28,http://www.mendeley.com/research/correlated-storage-location-assignment-problem-singleblockmulti-aisles-warehouse-considering-bom-inf,Jian,Xiao,19,3,8,38,3
2-s2.0-79951807443,10.1111/j.1540-5885.2011.00789.x,A study of the diffusion of alternative fuel vehicles: An agent-based modeling approach,journal,2011,Journal of Product Innovation Management,152-168,28,165,http://www.mendeley.com/research/study-diffusion-alternative-fuel-vehicles-agentbased-modeling-approach-11,Ting,Zhang,92,1,1,92,2
2-s2.0-42949171426,10.1111/j.1468-0394.2008.00443.x,Combining wavelet-based feature extractions with relevance vector machines for stock index forecasting,journal,2008,Expert Systems,133-149,25,9,http://www.mendeley.com/research/combining-waveletbased-feature-extractions-relevance-vector-machines-stock-index-forecasting,Shian-Chang,Huang,15,12,54,388,38
2-s2.0-83555175721,10.3233/IP-2009-0165,"Geographic information sharing: A regional approach in northern New Jersey, USA",journal,2009,Information Polity,127-139,14,128,http://www.mendeley.com/research/geographic-information-sharing-regional-approach-northern-new-jersey-usa-6,Francisco,Artigas,7,11,28,299,41
2-s2.0-84886507375,10.1061/(ASCE)CO.1943-7862.0000775,Knowledge-Based Simulation Modeling of Construction Fleet Operations Using Multimodal-Process Data Mining,journal,2013,Journal of Construction Engineering and Management,4013021,139,49,http://www.mendeley.com/research/knowledgebased-simulation-modeling-construction-fleet-operations-using-multimodalprocess-data-mining,Reza,Akhavian,30,7,23,124,17
2-s2.0-79952623090,10.1007/s11517-010-0712-0,Automated mechanical ventilation: Adapting decision making to different disease states,journal,2011,Medical and Biological Engineering and Computing,349-358,49,17,http://www.mendeley.com/research/automated-mechanical-ventilation-adapting-decision-making-different-disease-states,S.,Lozano-Zahonero,11,3,8,23,17
2-s2.0-60249090264,10.1111/j.1365-2575.2007.00284.x,Critical reflection in planning information systems: a contribution from critical systems thinking,journal,2009,Information Systems Journal,123-147,19,46,http://www.mendeley.com/research/critical-reflection-planning-information-systems-contribution-critical-systems-thinking-9,José-Rodrigo,Córdoba,27,10,31,224,19
2-s2.0-70349746886,10.1080/09585190902983330,A discussion on international assignments performance and the constructing mechanism of career success development,journal,2009,International Journal of Human Resource Management,1487-1502,20,71,http://www.mendeley.com/research/discussion-international-assignments-performance-constructing-mechanism-career-success-development,Victor B.,Kreng,4,14,31,643,23
2-s2.0-84863177094,10.1017/S0022109011000433,Bank loans with Chinese characteristics: Some evidence on inside debt in a state-controlled banking system,journal,2011,Journal of Financial and Quantitative Analysis,1795-1830,46,56,http://www.mendeley.com/research/bank-loans-chinese-characteristics-some-evidence-inside-debt-statecontrolled-banking-system,Warren,Bailey,38,16,34,1074,27
2-s2.0-85027942270,10.1007/s11142-011-9142-y,On the optimal use of loose monitoring in agencies,journal,2011,Review of Accounting Studies,328-354,16,31,http://www.mendeley.com/research/optimal-loose-monitoring-agencies,Qi,Chen,1,9,18,858,21
2-s2.0-84891755069,10.1287/isre.2013.0485,Continued participation in online innovation communities: Does community response matter equally for everyone?,journal,2013,Information Systems Research,1112-1130,24,61,http://www.mendeley.com/research/continued-participation-online-innovation-communities-community-response-matter-equally-everyone,Chen,Zhang,36,5,12,208,15
2-s2.0-78449276223,10.1002/asi.21419,"Co-citation analysis, bibliographic coupling, and direct citation: Which citation approach represents the research front most accurately?",journal,2010,Journal of the American Society for Information Science and Technology,2389-2404,61,251,http://www.mendeley.com/research/cocitation-analysis-bibliographic-coupling-direct-citation-citation-approach-represents-research-fro,Kevin W.,Boyack,190,25,74,2016,73
2-s2.0-55549144759,10.1080/17517570802337362,Towards a contractual approach for transaction management,conference_proceedings,2008,Enterprise Information Systems,443-458,2,6,http://www.mendeley.com/research/towards-contractual-approach-transaction-management,Ting,Wang,3,54,670,12748,150
2-s2.0-79551707892,10.1145/1883612.1883619,A review of grid authentication and authorization technologies and support for federated access control,journal,2011,ACM Computing Surveys,26-Jan,43,44,http://www.mendeley.com/research/review-grid-authentication-authorization-technologies-support-federated-access-control,Wei,Jie,22,8,41,240,150
2-s2.0-27744539232,10.1080/00207540412331299594,Converting assembly lines to assembly cells at Sheet Metal Products: Insights on performance improvements,journal,2005,International Journal of Production Research,1483-1509,43,23,http://www.mendeley.com/research/converting-assembly-lines-assembly-cells-sheet-metal-products-insights-performance-improvements,D. J.,Johnson,40,9,12,573,5
2-s2.0-74549216444,10.1080/00207540802582227,Replanning working time under annualised working hours,journal,2010,International Journal of Production Research,1493-1515,48,17,http://www.mendeley.com/research/replanning-working-time-under-annualised-working-hours,Albert,Corominas,7,15,77,544,32
2-s2.0-84857074189,10.1080/10580530.2012.634304,The Gender Gap: Does It Include Information Systems?,magazine_article,2012,Information Systems Management,83-84,29,5,http://www.mendeley.com/research/gender-gap-it-include-information-systems,Robert L.,Glass,2,22,256,1704,37
