,doi,id,title,type,year,authors,source,pages,volume,reader_count
36,10.1080/13698570802533002,5a172494-9def-3c9e-8346-bb35bd3d202d,Informing the public about information and participation strategies in siting of mobile communication base stations: An experimental study,journal,2008.0,"(Peter M., Wiedemann)","Health, Risk and Society",517-534,10,23
37,10.1145/1467247.1467279,7fdba868-7cf1-3177-9443-209a0146960a,Open access publishing in science,journal,2009.0,"(Florian, Mann)",Communications of the ACM,135,52,56
38,10.1007/s00291-013-0342-7,72ca8bcd-7200-391c-8d6f-d18e96bef7a0,Stochastic programming for vendor portfolio selection and order allocation under delivery uncertainty,journal,2014.0,"(Chia Yen, Lee)",OR Spectrum,761-797,36,20
39,10.1007/s10018-010-0167-4,c144f299-98c4-3878-836d-f7e830737ed8,Information and communication technology and environmental issues,journal,2010.0,"(Fumikazu, Yoshida)",Environmental Economics and Policy Studies,133-138,12,4
40,10.1007/s10257-007-0068-7,643b89af-2585-359f-8855-d7683d22eb52,Compositional enterprise modeling and decision support,journal,2008.0,"(Sulin, Ba)",Information Systems and e-Business Management,137-160,6,15
41,10.1111/j.1540-6210.2007.00827.x,e1ab4380-d7de-3a16-9b45-5841ad932e80,"Crisis management in hindsight: Cognition, communication, coordination, and control",journal,2007.0,"(Louise K., Comfort)",Public Administration Review,189-197,67,225
42,10.1080/10580530.2011.562401,28c848ea-0caa-3851-be94-93dc572649e2,IT service climate-an essential managerial tool to improve client satisfaction with IT service quality,journal,2011.0,"(Ronnie, Jia)",Information Systems Management,174-179,28,29
43,10.1080/08839514.2012.629522,ef63faa8-49c5-30b4-9f66-2cbcf05f2df7,Exploiting the user interaction context for automatic task detection,journal,2012.0,"(Didier, Devaurs)",Applied Artificial Intelligence,58-80,26,11
44,10.1080/13504850701578835,fee5686b-b7e1-3473-90a5-73588948f1f6,Federal Reserve vs. consumer forecasts of inflation: 1979-1983,journal,2009.0,"(Hamid, Baghestani)",Applied Economics Letters,1565-1568,16,0
45,10.1080/0144929X.2011.586725,5fad0f7d-5adf-3660-bd5f-fc46bdd40d9f,E-banking in Jordan,journal,2013.0,"(Muneer M., Abbad)",Behaviour and Information Technology,681-694,32,46
46,10.1080/09511920701566467,e58b4b7f-8218-3c52-a8bb-2b8487e583b1,Ontology-based artefact management in automotive electronics,conference_proceedings,2007.0,"(K., Sandkuhl)",International Journal of Computer Integrated Manufacturing,627-638,20,7
47,10.1080/09511920903207464,99b934c8-2f62-3bb2-b9a2-2934b2a85f1a,A knowledge management framework to support product-service systems design,journal,2009.0,"(David, Baxter)",International Journal of Computer Integrated Manufacturing,1173-1188,22,139
48,10.1111/j.1541-0072.2010.00378.x,4563cc18-ffaa-3582-b832-2de2782a743f,Building the reservoir to nowhere: The role of agencies in advocacy coalitions,journal,2010.0,"(Brian A., Ellison)",Policy Studies Journal,653-678,38,33
49,10.1007/s10207-014-0270-9,39474c59-4a04-3cf0-874f-744a5c287938,Privacy-preserving personal health record using multi-authority attribute-based encryption with revocation,journal,2014.0,"(Huiling, Qian)",International Journal of Information Security,487-497,14,14
50,10.1007/s10729-009-9120-0,287b261e-f3ff-3ebf-9a8c-75153175a434,A non-homogeneous discrete time Markov model for admission scheduling and resource planning in a cost or capacity constrained healthcare system,journal,2010.0,"(Lalit, Garg)",Health Care Management Science,155-169,13,70
51,10.1111/j.1365-2575.2008.00324.x,126a9f73-203e-3367-a2b7-237bb4299bf5,"A multi-method, holistic strategy for researching critical success factors in IT projects",journal,2010.0,"(Ulrich, Remus)",Information Systems Journal,25-52,20,127
52,10.1002/pad.437,0c450d0b-c185-3115-bb44-92da3222036a,Conflict resolution: Benchmarking water utility performance,journal,2007.0,"(Sanford V., Berg)",Public Administration and Development,1-11,27,24
53,10.1080/00207543.2010.543173,12a78b36-34a6-3997-b491-f9d79648c3ff,Scheduling with multiple tasks per job - The case of quality control laboratories in the pharmaceutical industry,journal,2012.0,"(Alex J., Ruiz-Torres)",International Journal of Production Research,691-705,50,12
54,10.1049/iet-com:20060649,e7bd1f8d-dc98-34b7-9994-92070baf99d2,ZigBee-based alarm system for pervasive healthcare in rural areas,journal,2008.0,"(R., Casas)",IET Communications,208,2,31
55,10.1061/(ASCE)CO.1943-7862.0000344,8e8414f6-ae16-38af-ab99-5c81054b6447,Bootstrap Technique for Risk Analysis with Interval Numbers in Bridge Construction Projects,journal,2011.0,"(Hassan, Hashemi)",Journal of Construction Engineering and Management,600-608,137,36
56,10.1080/17517575.2013.792397,3f199bdd-c114-3b5b-8358-875d8100fee9,Controlled information destruction: the final frontier in preserving information security for every organisation,journal,2015.0,"(Daniel Ioan, Curiac)",Enterprise Information Systems,384-400,9,7
57,10.1049/iet-gtd:20070309,a72e81a7-e829-36b5-ac33-72d54efc9e0d,Nodal congestion price estimation in spot power market using artificial neural network,journal,2008.0,"(S.N., Pandey)","IET Generation, Transmission & Distribution",280,2,13
58,10.1111/j.1539-6924.2008.01153.x,26548940-ef69-380f-9323-bbc747027a67,System perspectives of experts and farmers regarding the role of livelihood assets in risk perception: Results from the structured mental model approach,journal,2009.0,"(Regina, Schoell)",Risk Analysis,205-222,29,71
59,10.1145/1107458.1107493,69b40c71-8140-3de2-ba27-01160492a262,Keeping encountered information,journal,2006.0,"(Catherine C., Marshall)",Communications of the ACM,66,49,52
60,10.1111/1468-5973.12033,426749e4-c69b-3121-abe1-a207ce91d1e8,Incident command and information flows in a large-scale emergency operation,journal,2014.0,"(Rune, Rimstad)",Journal of Contingencies and Crisis Management,29-38,22,61
61,10.1080/09613218.2015.961002,69c75456-9edb-3952-bf81-56e0d69c3bad,Framework for net-zero and net-positive building water cycle management,journal,2015.0,"(Caryssa M., Joustra)",Building Research and Information,121-132,43,26
62,10.1080/07408170701775086,9e9565fa-6b21-3382-8dae-a04c44471c77,Transient analysis of maintenance intervention of continuous multi-unit systems,journal,2008.0,"(O. Geoffrey, Okogbaa)",IIE Transactions (Institute of Industrial Engineers),971-983,40,6
63,10.2753/MIS0742-1222270202,dd08bd4c-e826-399a-8100-1bb4dd3c7d7b,Safe Contexts for Interorganizational Collaborations Among Homeland Security Professionals,journal,2010.0,"(Ann, Majchrzak)",Journal of Management Information Systems,55-86,27,65
64,10.1080/09669582.2015.1062016,7d52c8cb-33c7-3463-8499-66f8387da28d,Drivers of environmental innovation in Majorcan hotels,journal,2015.0,"(Maria, Razumova)",Journal of Sustainable Tourism,1529-1549,23,37
65,10.1049/cce:20060201,ebd7c91e-1b85-384e-aacc-72914752772f,Controlling the threat,generic,2006.0,"(P, Marsh)",Computing & Control Engineering Journal,12-17,17,1
66,10.3109/03639045.2011.641563,da85bcca-aee1-3bb1-a68b-5ec161de74f8,A new experimental design method to optimize formulations focusing on a lubricant for hydrophilic matrix tablets,journal,2012.0,"(Du Hyung, Choi)",Drug Development and Industrial Pharmacy,1117-1127,38,7
67,10.1007/s11067-007-9027-6,c9f5778e-3e30-33b3-b094-acb30e1d8c87,Network analysis of commuting flows: A comparative static approach to German data,journal,2007.0,"(Roberto, Patuelli)",Networks and Spatial Economics,315-331,7,39
68,10.1007/s10257-014-0267-y,4bb2635c-da76-30da-ade0-20cd9d6ce15c,A new data mining methodology for generating new service ideas,journal,2015.0,"(Amir-Mohsen, Karimi-Majd)",Information Systems and e-Business Management,421-443,13,10
69,10.1080/10580530.2011.610275,13abcf43-f154-3efb-b55d-c0fec78ed365,From the editor,magazine_article,2011.0,"(Janice C., Sipior)",Information Systems Management,283,28,4
70,10.1080/00207543.2012.709650,ecc0ed0a-6186-3c89-85b6-e392dbca0b12,A dynamic knowledge management framework for the high value manufacturing industry,journal,2013.0,"(Barry Andrew, Piorkowski)",International Journal of Production Research,2176-2185,51,34
71,10.1111/j.1937-5956.2009.01012.x,991cd8bd-3250-3c4c-be2c-c601481d8123,Forecast updating and supplier coordination for complementary component purchases,journal,2009.0,"(Douglas J., Thomas)",Production and Operations Management,167-184,18,27
72,10.1287/isre.2015.0603,05a00427-8bc5-3a82-82a9-799e761d5fde,"Tigerblood: Newspapers, blogs, and the founding of information technology firms",journal,2015.0,"(Brad N., Greenwood)",Information Systems Research,812-828,26,41
73,10.1080/00207540412331285832,9048f73d-02ce-3442-b68c-63643d6f023b,Liquid crystal display surface uniformity defect inspection using analysis of variance and exponentially weighted moving average techniques,journal,2005.0,"(B. C., Jiang)",International Journal of Production Research,67-80,43,3
74,10.1111/j.1540-4609.2012.00363.x,40faa829-853d-3d9e-9499-916927dc6513,Introducing Artificial Neural Networks through a Spreadsheet Model,journal,2012.0,"(Thomas F., Rienzo)",Decision Sciences Journal of Innovative Education,515-520,10,9
75,10.1002/nav.21558,37dfdc21-c041-3fe7-9ba1-682dcae2a869,Fixed-interval joint-replenishment policies for distribution systems with multiple retailers and stochastic demand,journal,2013.0,"(Qinan, Wang)",Naval Research Logistics,637-651,60,18
76,10.1080/03643107.2011.599305,37ba9661-258d-3b99-89c7-dfc8dee568b7,Moving from outputs to outcomes: A review of the evolution of performance measurement in the Human service nonprofit sector,generic,2011.0,"(Kristen, Lynch-Cerullo)",Administration in Social Work,364-388,35,82
77,10.1080/09613218.2012.690956,f193ef43-e3ba-31b8-87ab-12d4af23edfc,Exploring scenarios for the future of energy management in UK property,journal,2012.0,"(A. T., Parkinson)",Building Research and Information,373-388,40,5
78,10.1111/j.0824-7935.2005.00268.x,045a22f0-6bcd-3641-b98a-e54b63112a06,XML declarative description with first-order logical constraints,journal,2005.0,"(Chutiporn, Anutariya)",Computational Intelligence,130-156,21,1
79,10.1111/caim.12017,823ee919-df49-3d92-acb1-6a250005970b,A New Roadmapping Technique for Creatively Managing the Emerging Smart Grid,journal,2013.0,"(Kelly R., Cowan)",Creativity and Innovation Management,67-83,22,42
80,10.3233/IFS-131019,3fa0324f-1bd8-33bd-b99c-c1d15294ed51,Intuitionistic fuzzy Hamacher aggregation operators and their application to multiple attribute decision making.,journal,2014.0,"(Ju-Ying, Huang)",Journal of Intelligent & Fuzzy Systems,505-513,27,4
81,10.1145/2543581.2543592,260144d4-3d49-3fb0-acd5-76627798361b,From RSSI to CSI,journal,2013.0,"(Zheng, Yang)",ACM Computing Surveys,1-32,46,18
82,10.1002/jsc.2021,eb7b6b2b-22ed-3853-8b91-d5a68b53263b,Global Information System Implementation: A Study of Strategic and Cultural Challenges and Enablers in a DMNC,journal,2015.0,"(Glenn, Parry)",Strategic Change,447-462,24,7
83,10.1179/2047971913Y.0000000035,9278aeef-7333-31a9-bee6-ee43cd815c5e,An assessment of the decision-making and problem-solving skills of hospital administrators,journal,2013.0,"(Sükrü Anil, Toygar)",International Journal of Healthcare Management,168-176,6,11
84,10.1057/rpm.2008.14,794f3178-9935-3bc9-a6db-c2b8d57ebcb2,Air cargo overbooking based on the shipment information record,journal,2008.0,"(Bjoern, Becker)",Journal of Revenue and Pricing Management,242-255,7,23
85,10.1080/10580530903455247,469630ec-05f9-3dbf-8237-7757f4227b90,Balanced scorecard implementation of security strategies: A framework for IT security performance management,journal,2010.0,"(Tejaswini, Herath)",Information Systems Management,72-81,27,66
86,10.1145/1064830.1064834,19dac993-3855-3cea-ad1c-e82270021ada,Criminal network analysis and visualization,journal,2005.0,"(Jennifer, Xu)",Communications of the ACM,100-107,48,33
87,10.1061/(ASCE)CO.1943-7862.0000240,555262eb-c90b-32ac-8c77-87d3c8193723,Improved SWOT approach for conducting strategic planning in the construction industry,journal,2010.0,"(Weisheng, Lu)",Journal of Construction Engineering and Management,1317-1328,136,126
88,10.1080/00207543.2010.548409,9768d689-24f6-36ca-af84-70bbc6e68220,A method to align a manufacturing execution system with Lean objectives,conference_proceedings,2011.0,"(J., Cottyn)",International Journal of Production Research,4397-4413,49,126
89,10.1080/17517575.2010.493956,bdfed462-c678-3f81-a902-e67a15454845,Identifying influential factors of business process performance using dependency analysis,journal,2011.0,"(Branimir, Wetzstein)",Enterprise Information Systems,79-98,5,28
90,10.5465/AMP.2008.32739761,563d76ec-e107-3790-9a03-472d5e5bb072,Value Creation in Knowledge-Based Firms: Aligning Problems and Resources,journal,2008.0,"(J., Woiceshyn)",Academy of Management Perspectives,85-99,22,102
91,10.1007/s10257-008-0090-4,f84959a1-f848-3bdf-9af1-9af793a78fe0,Support for real-time decision making in mobile financial applications,generic,2008.0,"(Frada, Burstein)",Information Systems and e-Business Management,257-278,6,46
92,10.5755/j01.ee.24.3.2787,f38c7b55-60e5-35a6-8773-d97c81d3295f,??mogi??kojo kapitalo sistemos vertinimas Europos S??jungos ??ali?? kontekste,journal,2013.0,"(Algimantas, Sakalas)",Engineering Economics,226-233,24,5
93,10.1377/hlthaff.2015.0127,32a9d587-7e5a-3541-9188-66d280c868e9,Women saw large decrease in out-of-pocket spending for contraceptives after ACA mandate removed cost sharing,journal,2015.0,"(Nora V., Becker)",Health Affairs,1204-1211,34,40
94,10.1007/s10845-012-0634-9,2df59c94-0d3e-33a9-8f45-6cc81d910e02,A capacity allocation and expansion model for TFT-LCD multi-site manufacturing,journal,2013.0,"(Tzu Li, Chen)",Journal of Intelligent Manufacturing,847-872,24,9
95,10.1080/17517570601088364,403a1cf8-a9db-3530-b127-3613d755df2f,CIOs' perspectives of critical success factors in ERP upgrade projects,journal,2007.0,"(D. L., Olson)",Enterprise Information Systems,129-138,1,50
96,10.1080/00207540802555736,e22d9052-b17a-3b98-924b-a6ac53a9ab66,A correlated storage location assignment problem in a single-block-multi- aisles warehouse considering BOM information,journal,2010.0,"(Jian, Xiao)",International Journal of Production Research,1321-1338,48,28
97,10.1111/j.1540-5885.2011.00789.x,5192f949-f6c8-3746-a992-1cfd4bd420ba,A study of the diffusion of alternative fuel vehicles: An agent-based modeling approach,journal,2011.0,"(Ting, Zhang)",Journal of Product Innovation Management,152-168,28,165
98,10.1111/j.1468-0394.2008.00443.x,9ce28d86-2e75-32b1-b1d2-1b7a075d86ec,Combining wavelet-based feature extractions with relevance vector machines for stock index forecasting,journal,2008.0,"(Shian Chang, Huang)",Expert Systems,133-149,25,9
99,10.3233/JCS-130490,2cfaff0b-1964-372b-b53d-d922e02fd3fa,Formal verification of security properties in trust management policy,journal,2014.0,"(Jianwei, Niu)",Journal of Computer Security,69-153,22,3
100,10.3233/IP-2009-0165,3f42d639-0766-3249-b61a-52ebb4dc5178,"Geographic information sharing: A regional approach in northern New Jersey, USA",journal,2009.0,"(Francisco, Artigas)",Information Polity,127-139,14,128
101,10.1061/(ASCE)CO.1943-7862.0000775,1d6ce44d-16d9-3853-827e-af1596ddd0de,Knowledge-Based Simulation Modeling of Construction Fleet Operations Using Multimodal-Process Data Mining,journal,2013.0,"(Reza, Akhavian)",Journal of Construction Engineering and Management,04013021,139,49
102,10.1007/s11517-010-0712-0,b91ef6a9-55de-3dd7-9c3b-5407accffd29,Automated mechanical ventilation: Adapting decision making to different disease states,journal,2011.0,"(S., Lozano-Zahonero)",Medical and Biological Engineering and Computing,349-358,49,17
103,10.1111/j.1365-2575.2007.00284.x,185589f7-7dda-3c6f-a9b9-cc79b01cfb1e,Critical reflection in planning information systems: a contribution from critical systems thinking,journal,2009.0,"(José-Rodrigo, Córdoba)",Information Systems Journal,123-147,19,46
104,10.1080/09585190902983330,92a2327d-07d0-3c07-9de7-fc5c31821315,A discussion on international assignments performance and the constructing mechanism of career success development,journal,2009.0,"(Victor B., Kreng)",International Journal of Human Resource Management,1487-1502,20,71
105,10.1017/S0022109011000433,6ae89a8c-4b15-3e24-9b9d-873c1d004d68,Bank loans with Chinese characteristics: Some evidence on inside debt in a state-controlled banking system,journal,2011.0,"(Warren, Bailey)",Journal of Financial and Quantitative Analysis,1795-1830,46,56
106,10.1111/j.1467-8608.2009.01560.x,c77bed77-12d4-3f9e-a89b-989326320483,"Data mining: proprietary rights, people and proposals",journal,2009.0,"(Dinah, Payne)",Business Ethics: A European Review,241-252,18,11
107,10.1007/s11142-011-9142-y,46cf986c-c0ab-351c-b59a-71dde18a5d26,On the optimal use of loose monitoring in agencies,journal,2011.0,"(Qi, Chen)",Review of Accounting Studies,328-354,16,31
108,10.1287/isre.2013.0485,d642b08d-a79b-3a25-b736-e6eeb741b5b2,Continued participation in online innovation communities: Does community response matter equally for everyone?,journal,2013.0,"(Chen, Zhang)",Information Systems Research,1112-1130,24,61
109,10.1002/itdj.20032,2711d675-af85-3dcd-9822-cf59b36b76a8,Risk factors in the collaborative development of management information systems for Nigerian universities,generic,2006.0,"(Charles O., Uwadia)",Information Technology for Development,91-111,12,8
110,10.1002/asi.21419,3e7362e5-660c-344b-b85a-77c2038b448a,"Co-citation analysis, bibliographic coupling, and direct citation: Which citation approach represents the research front most accurately?",journal,2010.0,"(Kevin W., Boyack)",Journal of the American Society for Information Science and Technology,2389-2404,61,251
111,10.1080/17517570802337362,1ff66468-fd59-3cbc-a3d6-8443945aac2e,Towards a contractual approach for transaction management,conference_proceedings,2008.0,"(Ting, Wang)",Enterprise Information Systems,443-458,2,6
112,10.1177/0092070305283686,e61bc1eb-8b05-31f8-b61b-1014add797b7,Marketing and the Law - ver pag. 406,journal,2001.0,"(Ann C, Morales)",Journal of the Academy of Marketing Science,108,29,1
113,10.1145/1883612.1883619,0a70d31c-9e9e-3d64-ab84-54a44f8ebca2,A review of grid authentication and authorization technologies and support for federated access control,journal,2011.0,"(Wei, Jie)",ACM Computing Surveys,1-26,43,43
114,10.1080/00207540412331299594,65cf1604-4297-3d7b-b58c-f0cb5e7d47d1,Converting assembly lines to assembly cells at Sheet Metal Products: Insights on performance improvements,journal,2005.0,"(D. J., Johnson)",International Journal of Production Research,1483-1509,43,23
115,10.1080/00207540802582227,d988be27-58a1-31f8-ac9f-6edcfafb4a53,Replanning working time under annualised working hours,journal,2010.0,"(Albert, Corominas)",International Journal of Production Research,1493-1515,48,17
116,10.1080/10580530.2012.634304,cbc8f721-62b0-3419-93a2-432f37ff52ef,The Gender Gap: Does It Include Information Systems?,magazine_article,2012.0,"(Robert L., Glass)",Information Systems Management,83-84,29,5
117,10.1007/s10479-005-6233-9,319f4bbd-8fe6-3e8f-8db1-3f3a2ec55d15,Decision analysis and real options: A discrete time approach to real option valuation,journal,2005.0,"(Luiz E., Brandão)",Annals of Operations Research,21-39,135,12
118,10.1093/imaman/dpm018,07c5c290-8bb1-309c-9176-067e96c6c5cd,Differentiated service delivery in cooperative IP-based broadcast and mobile telecommunications networks,journal,2007.0,"(Angelo, Centonza)",IMA Journal of Management Mathematics,245-267,18,2
119,10.1287/ijoc.1120.0504,dd7db4fb-2a47-3aef-8c6d-4a3bf383ee37,Rapid screening procedures for zero-one optimization via simulation,journal,2013.0,"(Shing Chih, Tsai)",INFORMS Journal on Computing,317-331,25,1
120,10.1080/00207541003801267,6a8d7828-71b6-3a79-8746-45445fd7ef93,The use of a multiple attribute decision-making method and value stream mapping in solving the pacemaker location problem,journal,2011.0,"(Taho, Yang)",International Journal of Production Research,2793-2817,49,35
121,10.1287/orsc.1050.0116,f25a95b4-4121-355e-b5f8-329c20f3a3bc,Speed and Search: Designing Organizations for Turbulence and Complexity,journal,2005.0,"(Nicolaj, Siggelkow)",Organization Science,101-122,16,394
122,10.1377/hlthaff.2013.1159,ed129a0f-2315-3492-8aca-c159905ef08b,The care span: Medicare home health payment reform may Jeopardize access for clinically complex and socially vulnerable patients,journal,2014.0,"(Robert J., Rosati)",Health Affairs,946-956,33,29
123,10.2105/AJPH.2012.301086,ddc92c9f-42c4-3f90-9026-9a9f31ad045e,The fate of historical death certificates: The silent burning of another library of alexandria,generic,2012.0,"(Wladimir J., Alonso)",American Journal of Public Health,,102,3
