id,scopus,doi,title,type,year,authors,source,pages,volume,reader_count,link,given-name,sur_name,author_id,affiliation_id,citedby_count,h_index,doc_total,cit_by_doc,co_authors_total
11c04682-306c-351e-a2ec-5536835b2366,2-s2.0-36248955411,10.1080/00207540600818278,Application support to product variety management,journal,2008,"('C.', 'Forza')",International Journal of Production Research,817-836,46,48,http://www.mendeley.com/research/application-support-product-variety-management-2,C.,Forza,7004529277,60000481,55,29,61,2435,28
a2c782fe-8c53-3c61-b5dd-a26f22339b4e,2-s2.0-84957938741,10.3846/20294913.2013.876457,Uniform price auction of divisible goods based on multiple rounds linear bidding and its equilibrium analysis,journal,2015,"('Congjun', 'Rao')",Technological and Economic Development of Economy,96-117,21,2,http://www.mendeley.com/research/uniform-price-auction-divisible-goods-based-multiple-rounds-linear-bidding-equilibrium-analysis,Congjun,Rao,15019842300,60083905,3,10,88,245,71
b64ece4c-669e-3bc9-9998-7ec8ada41ed2,2-s2.0-84904559300,10.1080/00207543.2014.891060,Modelling and analysis of the bullwhip effect with customers baulking behaviours and production capacity constraint,journal,2014,"('Wen Jin', 'Lin')",International Journal of Production Research,4835-4852,52,27,http://www.mendeley.com/research/modelling-analysis-bullwhip-effect-customers-baulking-behaviours-production-capacity-constraint,Wen-Jin,Lin,55917809500,60025084,6,2,2,12,3
f8c22df4-8f1f-37cb-b048-25a0d5820d46,2-s2.0-30544453990,10.1002/asi.20244,Word-oriented approximate string matching using occurrence heuristic tables: A heuristic for searching Arabic text,journal,2005,"('Suleiman H.', 'Mustafa')",Journal of the American Society for Information Science and Technology,1504-1511,56,5,http://www.mendeley.com/research/wordoriented-approximate-string-matching-using-occurrence-heuristic-tables-heuristic-searching-arabi,Suleiman H.,Mustafa,7101717447,60044065,1,2,12,37,5
39736fb4-ee85-3a81-9cf0-c6a36e7b5fba,2-s2.0-84896549511,10.1002/hrm.21549,Can Union Voice Make a Difference? The Effect of Union Citizenship Behavior on Employee Absence,journal,2014,"('Stephen J.', 'Deery')",Human Resource Management,211-228,53,26,http://www.mendeley.com/research/union-voice-make-difference-effect-union-citizenship-behavior-employee-absence,Stephen J.,Deery,6603261058,60011520,5,16,48,1018,22
96f3ee4e-c9ff-3bf3-980e-d03fc15fef05,2-s2.0-84931571837,10.1111/poms.12313,Sourcing with deferred payment and inspection under supplier product adulteration risk,journal,2015,"('Huaxia', 'Rui')",Production and Operations Management,934-946,24,15,http://www.mendeley.com/research/sourcing-deferred-payment-inspection-under-supplier-product-adulteration-risk,Huaxia,Rui,36802413000,60027165,10,9,28,279,15
094f2241-7f89-34e9-9c75-49b1edd6dd3a,2-s2.0-84947862683,10.1080/00207543.2015.1055845,The point of purchase decision in a supply chain with value-added reselling,journal,2015,"('Kingsley', 'Gnanendran')",International Journal of Production Research,6689-6700,53,10,http://www.mendeley.com/research/point-purchase-decision-supply-chain-valueadded-reselling,Kingsley,Gnanendran,6506192864,60033005,1,2,8,12,8
d9332a29-faf8-3b31-ae56-df0fdb40f92f,2-s2.0-84941875375,10.1080/08982112.2015.1023313,Model Specification and Confidence Intervals for Voice Communication,journal,2015,"('Sara R.', 'Wilson')",Quality Engineering,402-415,27,4,http://www.mendeley.com/research/model-specification-confidence-intervals-voice-communication,Sara R.,Wilson,55470808800,60000854,0,4,14,49,33
7b8d5dc4-df16-33e8-873f-95a8548aa855,2-s2.0-84876313389,10.1002/joe.21493,Know-How in the Bank: Instituting a Lessons Learned System to Capitalize on Intellectual Assets,journal,2013,"('Eileen Newman', 'Rubin')",Global Business and Organizational Excellence,36-48,32,6,http://www.mendeley.com/research/knowhow-bank-instituting-lessons-learned-system-capitalize-intellectual-assets,Eileen Newman,Rubin,55175275600,112962168,0,Scopus,3,0,0
6811cb2c-fab6-37d8-aab3-f17c110dcae4,2-s2.0-84878479178,10.1007/s00355-012-0686-y,Bargaining and cooperation in strategic form games with suspended realizations of threats,journal,2013,"('Zhigang', 'Cao')",Social Choice and Welfare,337-358,41,1,http://www.mendeley.com/research/bargaining-cooperation-strategic-form-games-suspended-realizations-threats,Zhigang,Cao,57040297400,60003707,1,7,32,146,29
629d2dc5-389f-37e2-bc2d-f7c61ce714b4,2-s2.0-33746907037,10.1007/s10729-006-9040-1,Methods to determine reimbursement rates for diagnosis related groups (DRG): A comparison of nine European countries,journal,2006,"('Jonas', 'Schreyögg')",Health Care Management Science,215-223,9,76,http://www.mendeley.com/research/methods-determine-reimbursement-rates-diagnosis-related-groups-drg-comparison-nine-european-countrie,Jonas,Schreyögg,8964133100,60011604,122,20,88,1023,92
f3841361-676b-3ea9-9f5a-a9e5272ab0e1,2-s2.0-61349139979,10.1287/ijoc.1050.0170,An evolutionary metaheuristic for approximating preference-nondominated solutions,journal,2007,"('Murat', 'Köksalan')",INFORMS Journal on Computing,291-301,19,14,http://www.mendeley.com/research/evolutionary-metaheuristic-approximating-preferencenondominated-solutions,Murat,Köksalan,6701407602,60004305,18,22,82,1053,65
91705957-1dad-3734-957d-3a165716a8b8,2-s2.0-77958089680,10.1007/s10107-010-0393-3,Risk-averse dynamic programming for Markov decision processes,conference_proceedings,2010,"('Andrzej', 'Ruszczyński')",Mathematical Programming,235-261,125,58,http://www.mendeley.com/research/riskaverse-dynamic-programming-markov-decision-processes-12,Andrzej,Ruszczyński,7004628826,,115,34,111,2563,54
d9208606-2634-3ba0-8838-a9aef9afba4e,2-s2.0-84942371930,10.1007/s10479-013-1380-x,A trust model of cloud computing based on Quality of Service,journal,2015,"('Paul', 'Manuel')",Annals of Operations Research,281-292,233,57,http://www.mendeley.com/research/trust-model-cloud-computing-based-quality-service-2,Paul,Manuel,56224800200,60038812,24,15,79,431,63
2306fe91-7960-3032-8d54-4baf4cff5fa6,2-s2.0-84884604361,10.1061/(ASCE)CO.1943-7862.0000741,Document Management in Construction: Practices and Opinions,journal,2013,"('Mohammed', 'Al Qady')",Journal of Construction Engineering and Management,6013002,139,41,http://www.mendeley.com/research/document-management-construction-practices-opinions,Mohammed,Al Qady,34867931500,60009254,9,5,8,44,0
3cd6bfa1-3737-3841-a88a-13cc5d7cd86a,2-s2.0-84876833748,10.1007/s10257-012-0193-9,"Impacts of employee participation and trust on e-business readiness, benefits, and satisfaction",journal,2013,"('Jung Yu', 'Lai')",Information Systems and e-Business Management,265-285,11,34,http://www.mendeley.com/research/impacts-employee-participation-trust-ebusiness-readiness-benefits-satisfaction,Jung-Yu,Lai,7401939711,60017511,5,12,35,957,18
adc8fbfd-f714-3a69-a326-b9a1c1fec323,2-s2.0-79960795856,10.1002/hrm.20434,Employees' attitudes toward organizational change: A literature review,journal,2011,"('Myungweon', 'Choi')",Human Resource Management,479-500,50,222,http://www.mendeley.com/research/employees-attitudes-toward-organizational-change-literature-review,Myungweon,Choi,36929980500,60013682,87,6,14,194,14
01271456-ba53-3db5-8628-53edfb655d18,2-s2.0-84879687947,10.1080/00207543.2012.755273,Characteristics affecting management of design information in the production system design process,journal,2013,"('Jessica', 'Bruch')",International Journal of Production Research,3241-3251,51,29,http://www.mendeley.com/research/characteristics-affecting-management-design-information-production-system-design-process-1,Jessica,Bruch,47160966400,60006739,8,3,19,25,28
973b3f4f-4f18-35e6-8719-b48d51311d18,2-s2.0-46949107747,10.1080/13678860500149951,Linking intellectual capital and competitive advantage: A cross-firm competence model for north-east italian smes in the manufacturing industry,generic,2005,"('Arnaldo', 'Camuffo')",Human Resource Development International,361-377,8,33,http://www.mendeley.com/research/linking-intellectual-capital-competitive-advantage-crossfirm-competence-model-northeast-italian-smes,Arnaldo,Camuffo,7801312686,60000481,25,17,40,567,21
8149873a-2bd6-399b-b1d9-6777b512e5cb,2-s2.0-70449730764,10.1080/10580530902797532,Confusion in the ranks: IT service management practice and terminology,journal,2009,"('Mary Anne', 'Winniford')",Information Systems Management,153-163,26,152,http://www.mendeley.com/research/confusion-ranks-it-service-management-practice-terminology,MaryAnne,Winniford,57197600989,,64,2,2,80,2
012a1db6-22c2-3f45-bbdc-09703f0d74b0,,10.1145/1978802.1978803,Factors that affect software systems development project outcomes,journal,2011,"('Laurie', 'McLeod')",ACM Computing Surveys,Jan-56,43,192,http://www.mendeley.com/research/factors-affect-software-systems-development-project-outcomes,,,,,,0,0,0,0
9b96ec26-4bb2-3b23-b3ea-c9cafc4bbc68,2-s2.0-33947397907,10.1007/s10257-006-0040-y,Innovative order types as success factors in stock exchange competition,journal,2007,"('Matthias', 'Kunzelmann')",Information Systems and e-Business Management,167-184,5,1,http://www.mendeley.com/research/innovative-order-types-success-factors-stock-exchange-competition,Matthias,Kunzelmann,16052722400,60029428,0,Scopus,0,0,0
22a3de83-0742-3970-a437-05784a826a4c,2-s2.0-84861749584,10.2308/isys-10254,Acceptance of E-Prescriptions and Automated Medication-Management Systems in Hospitals: An Extension of the Technology Acceptance Model,journal,2012,"('Tomás', 'Escobar-Rodríguez')",Journal of Information Systems,77-96,26,40,http://www.mendeley.com/research/acceptance-eprescriptions-automated-medicationmanagement-systems-hospitals-extension-technology-acce,Tomás,Escobar-Rodríguez,22834167900,60014204,14,12,38,507,16
5a3dfe52-7f44-3f31-b61a-bf9a099c74ba,,10.1111/j.1748-8583.2009.00119.x,Retraction,journal,2011,"('Olivier', 'Herrbach')",Human Resource Management Journal,444-444,21,1,http://www.mendeley.com/research/retraction-41,,,,,,0,0,0,0
3f9390cd-3085-3a8a-a360-6b525bb9c9af,2-s2.0-46249132104,10.1080/17517570802072951,Resource workflow nets: An approach to workflow modelling and analysis,journal,2008,"('Oana Otilia', 'Prisecaru')",Enterprise Information Systems,101-124,2,10,http://www.mendeley.com/research/resource-workflow-nets-approach-workflow-modelling-analysis,Oana Otilia,Prisecaru,24448743100,60014596,6,3,5,25,0
06fadab8-0718-39a2-ab17-fab1b85da9ee,2-s2.0-84897381379,10.1080/00076791.2013.790369,Revisiting the fit-performance thesis half a century later: A historical financial analysis of Chandler's own matched and mismatched firms,journal,2014,"('Kenneth E.', 'Aupperle')",Business History,341-371,56,15,http://www.mendeley.com/research/revisiting-fitperformance-thesis-half-century-later-historical-financial-analysis-chandlers-own-matc,Kenneth E.,Aupperle,6603304473,60032143,3,4,13,86,11
5a172494-9def-3c9e-8346-bb35bd3d202d,2-s2.0-57149088834,10.1080/13698570802533002,Informing the public about information and participation strategies in siting of mobile communication base stations: An experimental study,journal,2008,"('Peter M.', 'Wiedemann')","Health, Risk and Society",517-534,10,23,http://www.mendeley.com/research/informing-public-about-information-participation-strategies-siting-mobile-communication-base-station,Peter M.,Wiedemann,35965970600,60007774,9,14,69,610,108
7fdba868-7cf1-3177-9443-209a0146960a,2-s2.0-61849112158,10.1145/1467247.1467279,Open access publishing in science,journal,2009,"('Florian', 'Mann')",Communications of the ACM,135,52,56,http://www.mendeley.com/research/open-access-publishing-science-6,Florian,Mann,26321842300,60028717,31,3,3,40,6
72ca8bcd-7200-391c-8d6f-d18e96bef7a0,2-s2.0-84902457512,10.1007/s00291-013-0342-7,Stochastic programming for vendor portfolio selection and order allocation under delivery uncertainty,journal,2014,"('Chia Yen', 'Lee')",OR Spectrum,761-797,36,20,http://www.mendeley.com/research/stochastic-programming-vendor-portfolio-selection-order-allocation-under-delivery-uncertainty,Chia-Yen,Lee,57154828200,60014982,2,8,27,121,27
c144f299-98c4-3878-836d-f7e830737ed8,2-s2.0-77956806658,10.1007/s10018-010-0167-4,Information and communication technology and environmental issues,journal,2010,"('Fumikazu', 'Yoshida')",Environmental Economics and Policy Studies,133-138,12,4,http://www.mendeley.com/research/information-communication-technology-environmental-issues,Fumikazu,Yoshida,16176951500,60014652,1,3,13,37,5
643b89af-2585-359f-8855-d7683d22eb52,2-s2.0-59049089805,10.1007/s10257-007-0068-7,Compositional enterprise modeling and decision support,journal,2008,"('Sulin', 'Ba')",Information Systems and e-Business Management,137-160,6,15,http://www.mendeley.com/research/compositional-enterprise-modeling-decision-support,Sulin,Ba,56126274300,60022659,5,16,37,1960,26
e1ab4380-d7de-3a16-9b45-5841ad932e80,2-s2.0-36849095055,10.1111/j.1540-6210.2007.00827.x,"Crisis management in hindsight: Cognition, communication, coordination, and control",journal,2007,"('Louise K.', 'Comfort')",Public Administration Review,189-197,67,225,http://www.mendeley.com/research/crisis-management-hindsight-cognition-communication-coordination-control-3,Louise K.,Comfort,6603943499,60015543,208,18,77,1160,109
28c848ea-0caa-3851-be94-93dc572649e2,2-s2.0-79953836724,10.1080/10580530.2011.562401,IT service climate-an essential managerial tool to improve client satisfaction with IT service quality,journal,2011,"('Ronnie', 'Jia')",Information Systems Management,174-179,28,29,http://www.mendeley.com/research/it-service-climatean-essential-managerial-tool-improve-client-satisfaction-it-service-quality,Ronnie,Jia,25723423400,60029472,17,6,22,136,7
ef63faa8-49c5-30b4-9f66-2cbcf05f2df7,2-s2.0-84856895091,10.1080/08839514.2012.629522,Exploiting the user interaction context for automatic task detection,journal,2012,"('Didier', 'Devaurs')",Applied Artificial Intelligence,58-80,26,11,http://www.mendeley.com/research/exploiting-user-interaction-context-automatic-task-detection,Didier,Devaurs,34874658600,60005830,2,10,27,209,35
fee5686b-b7e1-3473-90a5-73588948f1f6,2-s2.0-70350143064,10.1080/13504850701578835,Federal Reserve vs. consumer forecasts of inflation: 1979-1983,journal,2009,"('Hamid', 'Baghestani')",Applied Economics Letters,1565-1568,16,0,http://www.mendeley.com/research/federal-reserve-vs-consumer-forecasts-inflation-19791983,Hamid,Baghestani,7801441765,60070791,5,8,64,201,21
5fad0f7d-5adf-3660-bd5f-fc46bdd40d9f,2-s2.0-84884497544,10.1080/0144929X.2011.586725,E-banking in Jordan,journal,2013,"('Muneer M.', 'Abbad')",Behaviour and Information Technology,681-694,32,46,http://www.mendeley.com/research/ebanking-jordan,Muneer M.,Abbad,34167491600,60091190,5,4,9,97,8
e58b4b7f-8218-3c52-a8bb-2b8487e583b1,2-s2.0-34648825465,10.1080/09511920701566467,Ontology-based artefact management in automotive electronics,conference_proceedings,2007,"('K.', 'Sandkuhl')",International Journal of Computer Integrated Manufacturing,627-638,20,7,http://www.mendeley.com/research/ontologybased-artefact-management-automotive-electronics,K.,Sandkuhl,6603331991,60016471,15,13,204,580,150
99b934c8-2f62-3bb2-b9a2-2934b2a85f1a,2-s2.0-71749108815,10.1080/09511920903207464,A knowledge management framework to support product-service systems design,journal,2009,"('David', 'Baxter')",International Journal of Computer Integrated Manufacturing,1173-1188,22,139,http://www.mendeley.com/research/knowledge-management-framework-support-productservice-systems-design-5,David,Baxter,35239548700,60004407,45,8,20,341,24
4563cc18-ffaa-3582-b832-2de2782a743f,2-s2.0-77957233165,10.1111/j.1541-0072.2010.00378.x,Building the reservoir to nowhere: The role of agencies in advocacy coalitions,journal,2010,"('Brian A.', 'Ellison')",Policy Studies Journal,653-678,38,33,http://www.mendeley.com/research/building-reservoir-nowhere-role-agencies-advocacy-coalitions,Brian A.,Ellison,7004091305,60020441,10,6,11,55,3
39474c59-4a04-3cf0-874f-744a5c287938,2-s2.0-84945471366,10.1007/s10207-014-0270-9,Privacy-preserving personal health record using multi-authority attribute-based encryption with revocation,journal,2014,"('Huiling', 'Qian')",International Journal of Information Security,487-497,14,14,http://www.mendeley.com/research/privacypreserving-personal-health-record-using-multiauthority-attributebased-encryption-revocation,Huiling,Qian,56032064100,60010851,37,3,3,48,4
287b261e-f3ff-3ebf-9a8c-75153175a434,2-s2.0-77955901375,10.1007/s10729-009-9120-0,A non-homogeneous discrete time Markov model for admission scheduling and resource planning in a cost or capacity constrained healthcare system,journal,2010,"('Lalit', 'Garg')",Health Care Management Science,155-169,13,70,http://www.mendeley.com/research/nonhomogeneous-discrete-time-markov-model-admission-scheduling-resource-planning-cost-capacity-const,Lalit,Garg,22034197400,60020730,31,9,45,180,66
126a9f73-203e-3367-a2b7-237bb4299bf5,2-s2.0-71749088135,10.1111/j.1365-2575.2008.00324.x,"A multi-method, holistic strategy for researching critical success factors in IT projects",journal,2010,"('Ulrich', 'Remus')",Information Systems Journal,25-52,20,127,http://www.mendeley.com/research/multimethod-holistic-strategy-researching-critical-success-factors-it-projects,Ulrich,Remus,18038107600,60020585,27,10,43,498,32
0c450d0b-c185-3115-bb44-92da3222036a,2-s2.0-33847725414,10.1002/pad.437,Conflict resolution: Benchmarking water utility performance,journal,2007,"('Sanford V.', 'Berg')",Public Administration and Development,11-Jan,27,24,http://www.mendeley.com/research/conflict-resolution-benchmarking-water-utility-performance,Sanford V.,Berg,35613613100,60013959,16,16,70,785,50
12a78b36-34a6-3997-b491-f9d79648c3ff,2-s2.0-84859971494,10.1080/00207543.2010.543173,Scheduling with multiple tasks per job - The case of quality control laboratories in the pharmaceutical industry,journal,2012,"('Alex J.', 'Ruiz-Torres')",International Journal of Production Research,691-705,50,12,http://www.mendeley.com/research/scheduling-multiple-tasks-per-job-case-quality-control-laboratories-pharmaceutical-industry,Alex J.,Ruiz-Torres,7006350261,60071503,4,15,62,563,54
e7bd1f8d-dc98-34b7-9994-92070baf99d2,2-s2.0-41149147186,10.1049/iet-com:20060649,ZigBee-based alarm system for pervasive healthcare in rural areas,journal,2008,"('R.', 'Casas')",IET Communications,208,2,31,http://www.mendeley.com/research/zigbeebased-alarm-system-pervasive-healthcare-rural-areas,R.,Casas,14521897300,60016809,17,13,54,563,88
8e8414f6-ae16-38af-ab99-5c81054b6447,2-s2.0-80051747339,10.1061/(ASCE)CO.1943-7862.0000344,Bootstrap Technique for Risk Analysis with Interval Numbers in Bridge Construction Projects,journal,2011,"('Hassan', 'Hashemi')",Journal of Construction Engineering and Management,600-608,137,36,http://www.mendeley.com/research/bootstrap-technique-risk-analysis-interval-numbers-bridge-construction-projects,Hassan,Hashemi,55232559300,60012659,10,12,19,327,16
3f199bdd-c114-3b5b-8358-875d8100fee9,2-s2.0-84922446337,10.1080/17517575.2013.792397,Controlled information destruction: the final frontier in preserving information security for every organisation,journal,2015,"('Daniel Ioan', 'Curiac')",Enterprise Information Systems,384-400,9,7,http://www.mendeley.com/research/controlled-information-destruction-final-frontier-preserving-information-security-every-organisation,Daniel-Ioan,Curiac,24764440500,60001317,2,9,50,222,41
a72e81a7-e829-36b5-ac33-72d54efc9e0d,2-s2.0-39349085400,10.1049/iet-gtd:20070309,Nodal congestion price estimation in spot power market using artificial neural network,journal,2008,"('S.N.', 'Pandey')","IET Generation, Transmission & Distribution",280,2,13,http://www.mendeley.com/research/nodal-congestion-price-estimation-spot-power-market-using-artificial-neural-network,S. N.,Pandey,24776561500,60032762,24,2,2,25,3
26548940-ef69-380f-9323-bbc747027a67,2-s2.0-58849127054,10.1111/j.1539-6924.2008.01153.x,System perspectives of experts and farmers regarding the role of livelihood assets in risk perception: Results from the structured mental model approach,journal,2009,"('Regina', 'Schoell')",Risk Analysis,205-222,29,71,http://www.mendeley.com/research/system-perspectives-experts-farmers-regarding-role-livelihood-assets-risk-perception-results-structu,Regina,Schoell,26023736800,60012614,25,1,2,25,2
69b40c71-8140-3de2-ba27-01160492a262,2-s2.0-33745215985,10.1145/1107458.1107493,Keeping encountered information,journal,2006,"('Catherine C.', 'Marshall')",Communications of the ACM,66,49,52,http://www.mendeley.com/research/keeping-encountered-information,Catherine C.,Marshall,55574227900,60026532,16,3,5,88,4
426749e4-c69b-3121-abe1-a207ce91d1e8,2-s2.0-84894087569,10.1111/1468-5973.12033,Incident command and information flows in a large-scale emergency operation,journal,2014,"('Rune', 'Rimstad')",Journal of Contingencies and Crisis Management,29-38,22,61,http://www.mendeley.com/research/incident-command-information-flows-largescale-emergency-operation,Rune,Rimstad,54911989200,112123695,12,5,8,76,21
69c75456-9edb-3952-bf81-56e0d69c3bad,2-s2.0-84926046734,10.1080/09613218.2015.961002,Framework for net-zero and net-positive building water cycle management,journal,2015,"('Caryssa M.', 'Joustra')",Building Research and Information,121-132,43,26,http://www.mendeley.com/research/framework-netzero-netpositive-building-water-cycle-management,Caryssa M.,Joustra,56031269000,60110965,0,2,4,8,4
9e9565fa-6b21-3382-8dae-a04c44471c77,2-s2.0-49249096459,10.1080/07408170701775086,Transient analysis of maintenance intervention of continuous multi-unit systems,journal,2008,"('O. Geoffrey', 'Okogbaa')",IIE Transactions (Institute of Industrial Engineers),971-983,40,6,http://www.mendeley.com/research/transient-analysis-maintenance-intervention-continuous-multiunit-systems,O. Geoffrey,Okogbaa,55952244900,60007740,5,7,37,274,37
dd08bd4c-e826-399a-8100-1bb4dd3c7d7b,2-s2.0-78649390704,10.2753/MIS0742-1222270202,Safe Contexts for Interorganizational Collaborations Among Homeland Security Professionals,journal,2010,"('Ann', 'Majchrzak')",Journal of Management Information Systems,55-86,27,65,http://www.mendeley.com/research/safe-contexts-interorganizational-collaborations-among-homeland-security-professionals,Ann,Majchrzak,7004097019,60029311,18,29,98,4507,120
7d52c8cb-33c7-3463-8499-66f8387da28d,2-s2.0-84943814769,10.1080/09669582.2015.1062016,Drivers of environmental innovation in Majorcan hotels,journal,2015,"('Maria', 'Razumova')",Journal of Sustainable Tourism,1529-1549,23,37,http://www.mendeley.com/research/drivers-environmental-innovation-majorcan-hotels,Maria,Razumova,56764098400,60009780,11,2,2,14,4
ebd7c91e-1b85-384e-aacc-72914752772f,2-s2.0-33646544051,10.1049/cce:20060201,Controlling the threat,generic,2006,"('P', 'Marsh')",Computing & Control Engineering Journal,17-Dec,17,1,http://www.mendeley.com/research/controlling-threat,Paul,Marsh,7103227196,,0,2,16,34,10
da85bcca-aee1-3bb1-a68b-5ec161de74f8,2-s2.0-84864480920,10.3109/03639045.2011.641563,A new experimental design method to optimize formulations focusing on a lubricant for hydrophilic matrix tablets,journal,2012,"('Du Hyung', 'Choi')",Drug Development and Industrial Pharmacy,1117-1127,38,7,http://www.mendeley.com/research/new-experimental-design-method-optimize-formulations-focusing-lubricant-hydrophilic-matrix-tablets,Du Hyung,Choi,56498319100,60008783,4,3,5,27,17
c9f5778e-3e30-33b3-b094-acb30e1d8c87,2-s2.0-35448935139,10.1007/s11067-007-9027-6,Network analysis of commuting flows: A comparative static approach to German data,journal,2007,"('Roberto', 'Patuelli')",Networks and Spatial Economics,315-331,7,39,http://www.mendeley.com/research/network-analysis-commuting-flows-comparative-static-approach-german-data,Roberto,Patuelli,22938717500,60008734,51,10,33,320,39
4bb2635c-da76-30da-ade0-20cd9d6ce15c,2-s2.0-84938421707,10.1007/s10257-014-0267-y,A new data mining methodology for generating new service ideas,journal,2015,"('Amir-Mohsen', 'Karimi-Majd')",Information Systems and e-Business Management,421-443,13,10,http://www.mendeley.com/research/new-data-mining-methodology-generating-new-service-ideas-4,Amir-Mohsen,Karimi-Majd,56382429000,60007751,2,2,7,20,6
13abcf43-f154-3efb-b55d-c0fec78ed365,2-s2.0-84855771853,10.1080/10580530.2011.610275,From the editor,magazine_article,2011,"('Janice C.', 'Sipior')",Information Systems Management,283,28,4,http://www.mendeley.com/research/editor-3284,Janice C.,Sipior,7003953069,60000009,0,12,123,519,48
ecc0ed0a-6186-3c89-85b6-e392dbca0b12,2-s2.0-84873475610,10.1080/00207543.2012.709650,A dynamic knowledge management framework for the high value manufacturing industry,journal,2013,"('Barry Andrew', 'Piorkowski')",International Journal of Production Research,2176-2185,51,34,http://www.mendeley.com/research/dynamic-knowledge-management-framework-high-value-manufacturing-industry-2,Barry Andrew,Piorkowski,48761821400,60031259,12,2,3,18,3
991cd8bd-3250-3c4c-be2c-c601481d8123,2-s2.0-67549088044,10.1111/j.1937-5956.2009.01012.x,Forecast updating and supplier coordination for complementary component purchases,journal,2009,"('Douglas J.', 'Thomas')",Production and Operations Management,167-184,18,27,http://www.mendeley.com/research/forecast-updating-supplier-coordination-complementary-component-purchases,Douglas J.,Thomas,35615127000,60001439,14,12,22,1144,36
